# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 99K of event 'cycles'
# Event count (approx.): 330892085977
#
# Overhead  Command  Shared Object      Symbol                                   
# ........  .......  .................  .........................................
#
     0.07%  cubrim   [kernel.kallsyms]  [k] perf_adjust_freq_unthr_context
     0.06%  cubrim   [kernel.kallsyms]  [k] lru_gen_add_folio
     0.06%  cubrim   [kernel.kallsyms]  [k] __mod_lruvec_state
     0.06%  cubrim   [kernel.kallsyms]  [k] rmqueue
     0.05%  cubrim   [kernel.kallsyms]  [k] count_memcg_events.constprop.0
     0.05%  cubrim   [kernel.kallsyms]  [k] __alloc_pages
     0.05%  cubrim   [kernel.kallsyms]  [k] __rmqueue_pcplist
     0.05%  cubrim   [kernel.kallsyms]  [k] __mod_node_page_state
     0.05%  cubrim   [kernel.kallsyms]  [k] release_pages
     0.04%  cubrim   [kernel.kallsyms]  [k] error_return
     0.04%  cubrim   [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.04%  cubrim   [kernel.kallsyms]  [k] folio_add_new_anon_rmap
     0.04%  cubrim   [kernel.kallsyms]  [k] pte_offset_map_nolock
     0.04%  cubrim   [kernel.kallsyms]  [k] get_page_from_freelist
     0.04%  cubrim   [kernel.kallsyms]  [k] pud_val
     0.04%  cubrim   [kernel.kallsyms]  [k] folio_batch_move_lru
     0.04%  cubrim   [kernel.kallsyms]  [k] percpu_counter_add_batch
     0.03%  cubrim   [kernel.kallsyms]  [k] folio_add_lru
     0.03%  cubrim   [kernel.kallsyms]  [k] alloc_pages_mpol
     0.03%  cubrim   [kernel.kallsyms]  [k] native_read_msr
     0.03%  cubrim   [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.03%  cubrim   [kernel.kallsyms]  [k] do_anonymous_page
     0.03%  cubrim   [kernel.kallsyms]  [k] free_unref_page_list
     0.03%  cubrim   [kernel.kallsyms]  [k] flush_tlb_func
     0.03%  cubrim   [kernel.kallsyms]  [k] __irqentry_text_end
     0.03%  cubrim   [kernel.kallsyms]  [k] free_pcppages_bulk
     0.03%  cubrim   [kernel.kallsyms]  [k] _raw_spin_unlock
     0.03%  cubrim   [kernel.kallsyms]  [k] down_read_trylock
     0.03%  cubrim   [kernel.kallsyms]  [k] access_error
     0.03%  cubrim   [kernel.kallsyms]  [k] folio_add_lru_vma
     0.03%  cubrim   [kernel.kallsyms]  [k] irqentry_exit
     0.03%  cubrim   [kernel.kallsyms]  [k] mem_cgroup_from_task
     0.03%  cubrim   [kernel.kallsyms]  [k] __const_udelay
     0.03%  cubrim   [kernel.kallsyms]  [k] up_read
     0.03%  cubrim   [kernel.kallsyms]  [k] set_ptes.isra.0
     0.03%  cubrim   [kernel.kallsyms]  [k] __next_zones_zonelist
     0.03%  cubrim   [kernel.kallsyms]  [k] uncharge_folio
     0.03%  cubrim   [kernel.kallsyms]  [k] kthread_blkcg
     0.03%  cubrim   [kernel.kallsyms]  [k] vma_alloc_folio
     0.03%  cubrim   [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.02%  cubrim   [kernel.kallsyms]  [k] __folio_throttle_swaprate
     0.02%  cubrim   [kernel.kallsyms]  [k] __mod_zone_page_state
     0.02%  cubrim   [kernel.kallsyms]  [k] try_charge_memcg
     0.02%  cubrim   [kernel.kallsyms]  [k] read_tsc
     0.02%  cubrim   [kernel.kallsyms]  [k] fpregs_assert_state_consistent
     0.02%  cubrim   [kernel.kallsyms]  [k] folio_mapping
     0.02%  cubrim   [kernel.kallsyms]  [k] ptep_clear_flush
     0.02%  cubrim   [kernel.kallsyms]  [k] pmd_val
     0.02%  cubrim   [kernel.kallsyms]  [k] free_unref_page_prepare
     0.02%  cubrim   [kernel.kallsyms]  [k] __raw_spin_lock_irqsave
     0.02%  cubrim   [kernel.kallsyms]  [k] free_unref_page_commit
     0.02%  cubrim   [kernel.kallsyms]  [k] post_alloc_hook
     0.02%  cubrim   [kernel.kallsyms]  [k] consume_stock
     0.02%  cubrim   [kernel.kallsyms]  [k] free_swap_cache
     0.02%  cubrim   [kernel.kallsyms]  [k] timekeeping_advance
     0.02%  cubrim   [kernel.kallsyms]  [k] get_vma_policy
     0.02%  cubrim   [kernel.kallsyms]  [k] get_pfnblock_flags_mask
     0.02%  cubrim   [kernel.kallsyms]  [k] policy_nodemask
     0.02%  cubrim   [kernel.kallsyms]  [k] _raw_spin_trylock
     0.02%  cubrim   [kernel.kallsyms]  [k] pfn_pte
     0.02%  cubrim   [kernel.kallsyms]  [k] irqentry_enter
     0.02%  cubrim   [kernel.kallsyms]  [k] vm_normal_page
     0.01%  cubrim   [kernel.kallsyms]  [k] __mem_cgroup_uncharge_list
     0.01%  cubrim   [kernel.kallsyms]  [k] native_write_msr
     0.01%  cubrim   [kernel.kallsyms]  [k] ktime_get_update_offsets_now
     0.01%  cubrim   [kernel.kallsyms]  [k] pte_pfn
     0.01%  cubrim   [kernel.kallsyms]  [k] update_cfs_group
     0.01%  cubrim   [kernel.kallsyms]  [k] _find_next_bit
     0.01%  cubrim   [kernel.kallsyms]  [k] p4d_offset
     0.01%  cubrim   [kernel.kallsyms]  [k] amd_pmu_addr_offset
     0.01%  cubrim   [kernel.kallsyms]  [k] task_mm_cid_work
     0.01%  cubrim   [kernel.kallsyms]  [k] ktime_get
     0.01%  cubrim   [kernel.kallsyms]  [k] srso_return_thunk
     0.01%  cubrim   [kernel.kallsyms]  [k] _find_first_bit
     0.01%  cubrim   [kernel.kallsyms]  [k] timekeeping_update
     0.01%  cubrim   [kernel.kallsyms]  [k] account_user_time
     0.01%  cubrim   [kernel.kallsyms]  [k] update_curr
     0.01%  cubrim   [kernel.kallsyms]  [k] task_tick_fair
     0.01%  cubrim   [kernel.kallsyms]  [k] pte_mkwrite
     0.01%  cubrim   [kernel.kallsyms]  [k] sugov_update_single_freq
     0.01%  cubrim   [kernel.kallsyms]  [k] cond_accept_memory
     0.01%  cubrim   [kernel.kallsyms]  [k] update_load_avg
     0.01%  cubrim   [kernel.kallsyms]  [k] delay_halt_mwaitx
     0.01%  cubrim   [kernel.kallsyms]  [k] folio_prep_large_rmappable
     0.01%  cubrim   [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.01%  cubrim   [kernel.kallsyms]  [k] smp_call_function_many_cond
     0.01%  cubrim   [kernel.kallsyms]  [k] x86_pmu_disable_all
     0.01%  cubrim   [kernel.kallsyms]  [k] notifier_call_chain
     0.01%  cubrim   [kernel.kallsyms]  [k] tick_do_update_jiffies64
     0.01%  cubrim   [kernel.kallsyms]  [k] should_fail_alloc_page
     0.01%  cubrim   [kernel.kallsyms]  [k] sched_clock_cpu
     0.01%  cubrim   [kernel.kallsyms]  [k] __update_load_avg_se
     0.01%  cubrim   [kernel.kallsyms]  [k] update_vdso_data.constprop.0
     0.01%  cubrim   [kernel.kallsyms]  [k] pte_val
     0.01%  cubrim   [kernel.kallsyms]  [k] memcg_check_events
     0.01%  cubrim   [kernel.kallsyms]  [k] __cond_resched
     0.01%  cubrim   [kernel.kallsyms]  [k] check_cpu_stall
     0.01%  cubrim   [kernel.kallsyms]  [k] __tlb_remove_page_size
     0.01%  cubrim   [kernel.kallsyms]  [k] folio_remove_rmap_ptes
     0.01%  cubrim   [kernel.kallsyms]  [k] irq_enter_rcu
     0.00%  cubrim   [kernel.kallsyms]  [k] perf_event_task_tick
     0.00%  cubrim   [kernel.kallsyms]  [k] page_counter_try_charge
     0.00%  cubrim   [kernel.kallsyms]  [k] rcu_sched_clock_irq
     0.00%  cubrim   [kernel.kallsyms]  [k] irq_work_tick
     0.00%  cubrim   [kernel.kallsyms]  [k] tick_sched_do_timer
     0.00%  cubrim   [kernel.kallsyms]  [k] hrtimer_active
     0.00%  cubrim   [kernel.kallsyms]  [k] __irq_exit_rcu
     0.00%  cubrim   [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.00%  cubrim   [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.00%  cubrim   [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.00%  cubrim   [kernel.kallsyms]  [k] sugov_should_update_freq
     0.00%  cubrim   [kernel.kallsyms]  [k] arch_scale_freq_tick
     0.00%  cubrim   [kernel.kallsyms]  [k] update_process_times
     0.00%  cubrim   [kernel.kallsyms]  [k] hrtimer_interrupt
     0.00%  cubrim   [kernel.kallsyms]  [k] amd_clear_divider
     0.00%  cubrim   [kernel.kallsyms]  [k] native_sched_clock
     0.00%  cubrim   [kernel.kallsyms]  [k] __cgroup_account_cputime_field
     0.00%  cubrim   [kernel.kallsyms]  [k] sched_clock
     0.00%  cubrim   [kernel.kallsyms]  [k] acct_account_cputime
     0.00%  cubrim   [kernel.kallsyms]  [k] sched_clock_noinstr
     0.00%  cubrim   [kernel.kallsyms]  [k] folio_lruvec_lock_irqsave
     0.00%  cubrim   [kernel.kallsyms]  [k] delay_halt.part.0
     0.00%  cubrim   [kernel.kallsyms]  [k] rcu_pending
     0.00%  cubrim   [kernel.kallsyms]  [k] tick_nohz_highres_handler
     0.00%  cubrim   [kernel.kallsyms]  [k] update_vsyscall
     0.00%  cubrim   [kernel.kallsyms]  [k] obj_cgroup_charge
     0.00%  cubrim   [kernel.kallsyms]  [k] update_fast_timekeeper
     0.00%  cubrim   [kernel.kallsyms]  [k] pvclock_gtod_notify
     0.00%  cubrim   [kernel.kallsyms]  [k] x86_pmu_disable
     0.00%  cubrim   [kernel.kallsyms]  [k] amd_pmu_check_overflow
     0.00%  cubrim   [kernel.kallsyms]  [k] amd_pmu_test_overflow_topbit
     0.00%  cubrim   [kernel.kallsyms]  [k] should_flush_tlb
     0.00%  cubrim   [kernel.kallsyms]  [k] load_balance
     0.00%  cubrim   [kernel.kallsyms]  [k] __x86_indirect_thunk_r14
     0.00%  cubrim   [kernel.kallsyms]  [k] delay_halt
     0.00%  cubrim   [kernel.kallsyms]  [k] memcpy_fromio
     0.00%  cubrim   [kernel.kallsyms]  [k] effective_cpu_util
     0.00%  cubrim   [kernel.kallsyms]  [k] native_flush_tlb_multi
     0.00%  cubrim   [kernel.kallsyms]  [k] raw_notifier_call_chain
     0.00%  cubrim   [kernel.kallsyms]  [k] lapic_next_event
     0.00%  cubrim   [kernel.kallsyms]  [k] __x86_indirect_thunk_rbx
     0.00%  cubrim   [kernel.kallsyms]  [k] rcu_core
     0.00%  cubrim   [kernel.kallsyms]  [k] clockevents_program_event
     0.00%  cubrim   [kernel.kallsyms]  [k] scheduler_tick
     0.00%  cubrim   [kernel.kallsyms]  [k] __pte_alloc
     0.00%  taskset  [kernel.kallsyms]  [k] check_heap_object
     0.00%  cubrim   [kernel.kallsyms]  [k] sugov_get_util
     0.00%  cubrim   [kernel.kallsyms]  [k] cpuacct_charge
     0.00%  cubrim   [kernel.kallsyms]  [k] rcu_segcblist_ready_cbs
     0.00%  cubrim   [kernel.kallsyms]  [k] calc_global_load
     0.00%  cubrim   [kernel.kallsyms]  [k] irq_work_run_list
     0.00%  cubrim   [kernel.kallsyms]  [k] timekeeping_adjust.constprop.0
     0.00%  cubrim   [kernel.kallsyms]  [k] rb_next
     0.00%  cubrim   [kernel.kallsyms]  [k] __calc_delta.constprop.0
     0.00%  cubrim   [kernel.kallsyms]  [k] update_curr_se
     0.00%  cubrim   [kernel.kallsyms]  [k] native_apic_mem_eoi
     0.00%  cubrim   [kernel.kallsyms]  [k] trace_rss_stat
     0.00%  cubrim   [kernel.kallsyms]  [k] __remove_hrtimer
     0.00%  cubrim   [kernel.kallsyms]  [k] update_rq_clock
     0.00%  cubrim   [kernel.kallsyms]  [k] entry_untrain_ret
     0.00%  cubrim   [kernel.kallsyms]  [k] kmem_cache_alloc
     0.00%  cubrim   [kernel.kallsyms]  [k] __mem_cgroup_threshold
     0.00%  cubrim   [kernel.kallsyms]  [k] _raw_spin_unlock_irq
     0.00%  cubrim   [kernel.kallsyms]  [k] pick_next_task_stop
     0.00%  cubrim   [kernel.kallsyms]  [k] nf_route_table_hook4
     0.00%  cubrim   [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.00%  cubrim   [kernel.kallsyms]  [k] fq_flush_timeout
     0.00%  cubrim   [kernel.kallsyms]  [k] update_wall_time
     0.00%  cubrim   [kernel.kallsyms]  [k] rb_erase
     0.00%  cubrim   [kernel.kallsyms]  [k] native_send_call_func_single_ipi
     0.00%  cubrim   [kernel.kallsyms]  [k] alloc_anon_folio
     0.00%  cubrim   [kernel.kallsyms]  [k] native_set_pte
     0.00%  cubrim   [kernel.kallsyms]  [k] __x86_indirect_thunk_rax
     0.00%  cubrim   [kernel.kallsyms]  [k] __mod_timer
     0.00%  cubrim   [kernel.kallsyms]  [k] __bitmap_and
     0.00%  cubrim   [kernel.kallsyms]  [k] run_posix_cpu_timers
     0.00%  cubrim   [kernel.kallsyms]  [k] current_obj_cgroup
     0.00%  cubrim   [kernel.kallsyms]  [k] handle_softirqs
     0.00%  cubrim   [kernel.kallsyms]  [k] on_each_cpu_cond_mask
     0.00%  cubrim   [kernel.kallsyms]  [k] task_work_run
     0.00%  cubrim   [kernel.kallsyms]  [k] __folio_mark_dirty
     0.00%  cubrim   [kernel.kallsyms]  [k] irq_exit_rcu
     0.00%  cubrim   [kernel.kallsyms]  [k] __cgroup_account_cputime
     0.00%  cubrim   [kernel.kallsyms]  [k] update_sd_lb_stats.constprop.0
     0.00%  cubrim   [kernel.kallsyms]  [k] native_irq_return_iret
     0.00%  cubrim   [kernel.kallsyms]  [k] rep_movs_alternative
     0.00%  cubrim   [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.00%  cubrim   [kernel.kallsyms]  [k] calc_global_load_tick
     0.00%  cubrim   [kernel.kallsyms]  [k] update_sg_lb_stats
     0.00%  cubrim   [kernel.kallsyms]  [k] ___pte_free_tlb
     0.00%  cubrim   [kernel.kallsyms]  [k] enqueue_hrtimer
     0.00%  cubrim   [kernel.kallsyms]  [k] __xa_set_mark
     0.00%  cubrim   [kernel.kallsyms]  [k] psi_flags_change
     0.00%  cubrim   [kernel.kallsyms]  [k] rcu_core_si
     0.00%  cubrim   [kernel.kallsyms]  [k] rcu_exp_handler
     0.00%  cubrim   [kernel.kallsyms]  [k] idle_cpu
     0.00%  cubrim   [kernel.kallsyms]  [k] kthread_is_per_cpu
     0.00%  cubrim   [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.00%  cubrim   [kernel.kallsyms]  [k] psi_task_change
     0.00%  cubrim   [kernel.kallsyms]  [k] lru_add_drain_cpu
     0.00%  cubrim   [kernel.kallsyms]  [k] __run_timers
     0.00%  cubrim   [kernel.kallsyms]  [k] alloc_pages
     0.00%  cubrim   [kernel.kallsyms]  [k] __memcg_kmem_charge_page
     0.00%  cubrim   [kernel.kallsyms]  [k] lruvec_stat_mod_folio.constprop.0
     0.00%  perf-ex  [kernel.kallsyms]  [k] perf_event_exec
     0.00%  cubrim   [kernel.kallsyms]  [k] mem_cgroup_handle_over_high


#
# (Cannot load tips.txt file, please install perf!)
#
