# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 42K of event 'cycles'
# Event count (approx.): 141280526775
#
# Overhead  Command  Shared Object      Symbol                                   
# ........  .......  .................  .........................................
#
     0.02%  cubrim   [kernel.kallsyms]  [k] pte_mkwrite
     0.02%  cubrim   [kernel.kallsyms]  [k] task_mm_cid_work
     0.02%  cubrim   [kernel.kallsyms]  [k] free_swap_cache
     0.02%  cubrim   [kernel.kallsyms]  [k] get_pfnblock_flags_mask
     0.02%  cubrim   [kernel.kallsyms]  [k] __const_udelay
     0.02%  cubrim   [kernel.kallsyms]  [k] should_fail_alloc_page
     0.02%  cubrim   [kernel.kallsyms]  [k] delay_halt
     0.02%  cubrim   [kernel.kallsyms]  [k] vm_normal_page
     0.02%  cubrim   [kernel.kallsyms]  [k] pmd_val
     0.01%  cubrim   [kernel.kallsyms]  [k] folio_mapping
     0.01%  cubrim   [kernel.kallsyms]  [k] read_tsc
     0.01%  cubrim   [kernel.kallsyms]  [k] update_load_avg
     0.01%  cubrim   [kernel.kallsyms]  [k] srso_return_thunk
     0.01%  cubrim   [kernel.kallsyms]  [k] __update_load_avg_se
     0.01%  cubrim   [kernel.kallsyms]  [k] sugov_should_update_freq
     0.01%  cubrim   [kernel.kallsyms]  [k] folio_remove_rmap_ptes
     0.01%  cubrim   [kernel.kallsyms]  [k] x86_pmu_disable_all
     0.01%  cubrim   [kernel.kallsyms]  [k] __tlb_remove_page_size
     0.01%  cubrim   [kernel.kallsyms]  [k] update_fast_timekeeper
     0.01%  cubrim   [kernel.kallsyms]  [k] timekeeping_advance
     0.01%  cubrim   [kernel.kallsyms]  [k] _find_first_bit
     0.01%  cubrim   [kernel.kallsyms]  [k] rcu_pending
     0.01%  cubrim   [kernel.kallsyms]  [k] sched_clock_cpu
     0.01%  cubrim   [kernel.kallsyms]  [k] _find_next_bit
     0.01%  cubrim   [kernel.kallsyms]  [k] folio_prep_large_rmappable
     0.01%  cubrim   [kernel.kallsyms]  [k] trace_rss_stat
     0.01%  cubrim   [kernel.kallsyms]  [k] x86_pmu_disable
     0.01%  cubrim   [kernel.kallsyms]  [k] task_tick_fair
     0.01%  cubrim   [kernel.kallsyms]  [k] get_vma_policy
     0.01%  cubrim   [kernel.kallsyms]  [k] __cond_resched
     0.01%  cubrim   [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.01%  cubrim   [kernel.kallsyms]  [k] acct_account_cputime
     0.01%  cubrim   [kernel.kallsyms]  [k] hrtimer_interrupt
     0.01%  cubrim   [kernel.kallsyms]  [k] ktime_get_update_offsets_now
     0.01%  cubrim   [kernel.kallsyms]  [k] delay_halt_mwaitx
     0.01%  cubrim   [kernel.kallsyms]  [k] scheduler_tick
     0.01%  cubrim   [kernel.kallsyms]  [k] rcu_sched_clock_irq
     0.01%  cubrim   [kernel.kallsyms]  [k] update_cfs_group
     0.01%  cubrim   [kernel.kallsyms]  [k] sugov_update_single_freq
     0.01%  cubrim   [kernel.kallsyms]  [k] native_sched_clock
     0.01%  cubrim   [kernel.kallsyms]  [k] tick_do_update_jiffies64
     0.01%  cubrim   [kernel.kallsyms]  [k] page_counter_try_charge
     0.01%  cubrim   [kernel.kallsyms]  [k] update_vdso_data.constprop.0
     0.00%  cubrim   [kernel.kallsyms]  [k] irq_work_tick
     0.00%  cubrim   [kernel.kallsyms]  [k] account_user_time
     0.00%  cubrim   [kernel.kallsyms]  [k] irq_enter_rcu
     0.00%  cubrim   [kernel.kallsyms]  [k] pvclock_gtod_notify
     0.00%  cubrim   [kernel.kallsyms]  [k] perf_event_task_tick
     0.00%  cubrim   [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.00%  cubrim   [kernel.kallsyms]  [k] amd_pmu_check_overflow
     0.00%  cubrim   [kernel.kallsyms]  [k] smp_call_function_many_cond
     0.00%  cubrim   [kernel.kallsyms]  [k] timekeeping_update
     0.00%  cubrim   [kernel.kallsyms]  [k] ktime_get
     0.00%  cubrim   [kernel.kallsyms]  [k] __cgroup_account_cputime_field
     0.00%  cubrim   [kernel.kallsyms]  [k] amd_pmu_test_overflow_topbit
     0.00%  cubrim   [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.00%  cubrim   [kernel.kallsyms]  [k] __mem_cgroup_threshold
     0.00%  cubrim   [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.00%  cubrim   [kernel.kallsyms]  [k] update_curr
     0.00%  cubrim   [kernel.kallsyms]  [k] irq_exit_rcu
     0.00%  cubrim   [kernel.kallsyms]  [k] effective_cpu_util
     0.00%  cubrim   [kernel.kallsyms]  [k] ntp_get_next_leap
     0.00%  cubrim   [kernel.kallsyms]  [k] update_process_times
     0.00%  cubrim   [kernel.kallsyms]  [k] __x86_indirect_thunk_rax
     0.00%  cubrim   [kernel.kallsyms]  [k] native_irq_return_iret
     0.00%  cubrim   [kernel.kallsyms]  [k] folio_lruvec_lock_irqsave
     0.00%  cubrim   [kernel.kallsyms]  [k] sched_clock
     0.00%  cubrim   [kernel.kallsyms]  [k] set_task_cpu
     0.00%  cubrim   [kernel.kallsyms]  [k] ntp_tick_length
     0.00%  cubrim   [kernel.kallsyms]  [k] get_next_freq.constprop.0
     0.00%  cubrim   [kernel.kallsyms]  [k] native_apic_mem_eoi
     0.00%  cubrim   [kernel.kallsyms]  [k] alloc_anon_folio
     0.00%  cubrim   [kernel.kallsyms]  [k] update_vsyscall
     0.00%  cubrim   [kernel.kallsyms]  [k] tick_sched_handle
     0.00%  cubrim   [kernel.kallsyms]  [k] timekeeping_adjust.constprop.0
     0.00%  cubrim   [kernel.kallsyms]  [k] __cgroup_account_cputime
     0.00%  cubrim   [kernel.kallsyms]  [k] handle_softirqs
     0.00%  cubrim   [kernel.kallsyms]  [k] amd_clear_divider
     0.00%  cubrim   [kernel.kallsyms]  [k] __x86_indirect_thunk_r12
     0.00%  cubrim   [kernel.kallsyms]  [k] lapic_next_event
     0.00%  cubrim   [kernel.kallsyms]  [k] __run_timers
     0.00%  cubrim   [kernel.kallsyms]  [k] arch_scale_freq_tick
     0.00%  cubrim   [kernel.kallsyms]  [k] propagate_protected_usage
     0.00%  cubrim   [kernel.kallsyms]  [k] memcg_check_events
     0.00%  cubrim   [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.00%  cubrim   [kernel.kallsyms]  [k] update_rt_rq_load_avg
     0.00%  cubrim   [kernel.kallsyms]  [k] put_pages_list
     0.00%  cubrim   [kernel.kallsyms]  [k] hrtimer_active
     0.00%  cubrim   [kernel.kallsyms]  [k] xas_start
     0.00%  cubrim   [kernel.kallsyms]  [k] node_dirty_ok
     0.00%  cubrim   [kernel.kallsyms]  [k] ___pte_free_tlb
     0.00%  cubrim   [kernel.kallsyms]  [k] __note_gp_changes
     0.00%  cubrim   [kernel.kallsyms]  [k] clockevents_program_event
     0.00%  cubrim   [kernel.kallsyms]  [k] create_empty_buffers
     0.00%  cubrim   [kernel.kallsyms]  [k] raw_notifier_call_chain
     0.00%  cubrim   [kernel.kallsyms]  [k] xa_load
     0.00%  cubrim   [kernel.kallsyms]  [k] __update_blocked_fair
     0.00%  cubrim   [kernel.kallsyms]  [k] rcu_core_si
     0.00%  cubrim   [kernel.kallsyms]  [k] rcu_do_batch
     0.00%  cubrim   [kernel.kallsyms]  [k] __d_lookup_rcu
     0.00%  taskset  [kernel.kallsyms]  [k] zap_pte_range
     0.00%  cubrim   [kernel.kallsyms]  [k] vma_prepare
     0.00%  taskset  [kernel.kallsyms]  [k] __x86_indirect_thunk_rax
     0.00%  taskset  [kernel.kallsyms]  [k] mas_preallocate
     0.00%  taskset  [kernel.kallsyms]  [k] __percpu_counter_sum
     0.00%  perf-ex  [kernel.kallsyms]  [k] perf_event_exec
     0.00%  taskset  [kernel.kallsyms]  [k] __mmdrop


#
# (Cannot load tips.txt file, please install perf!)
#
