# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 42K of event 'cycles'
# Event count (approx.): 140998949241
#
# Overhead  Command  Shared Object      Symbol                                   
# ........  .......  .................  .........................................
#
     0.05%  cubrim   [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.05%  cubrim   [kernel.kallsyms]  [k] perf_adjust_freq_unthr_context
     0.04%  cubrim   [kernel.kallsyms]  [k] flush_tlb_func
     0.04%  cubrim   [kernel.kallsyms]  [k] folio_batch_move_lru
     0.04%  cubrim   [kernel.kallsyms]  [k] __mod_node_page_state
     0.04%  cubrim   [kernel.kallsyms]  [k] up_read
     0.04%  cubrim   [kernel.kallsyms]  [k] folio_add_lru_vma
     0.04%  cubrim   [kernel.kallsyms]  [k] alloc_pages_mpol
     0.04%  cubrim   [kernel.kallsyms]  [k] percpu_counter_add_batch
     0.04%  cubrim   [kernel.kallsyms]  [k] get_pfnblock_flags_mask
     0.04%  cubrim   [kernel.kallsyms]  [k] irqentry_exit
     0.03%  cubrim   [kernel.kallsyms]  [k] ptep_clear_flush
     0.03%  cubrim   [kernel.kallsyms]  [k] get_vma_policy
     0.03%  cubrim   [kernel.kallsyms]  [k] __irqentry_text_end
     0.03%  cubrim   [kernel.kallsyms]  [k] pud_val
     0.03%  cubrim   [kernel.kallsyms]  [k] post_alloc_hook
     0.03%  cubrim   [kernel.kallsyms]  [k] __const_udelay
     0.03%  cubrim   [kernel.kallsyms]  [k] __folio_throttle_swaprate
     0.03%  cubrim   [kernel.kallsyms]  [k] _raw_spin_unlock
     0.03%  cubrim   [kernel.kallsyms]  [k] folio_remove_rmap_ptes
     0.03%  cubrim   [kernel.kallsyms]  [k] try_charge_memcg
     0.03%  cubrim   [kernel.kallsyms]  [k] srso_return_thunk
     0.03%  cubrim   [kernel.kallsyms]  [k] policy_nodemask
     0.03%  cubrim   [kernel.kallsyms]  [k] set_ptes.isra.0
     0.03%  cubrim   [kernel.kallsyms]  [k] access_error
     0.03%  cubrim   [kernel.kallsyms]  [k] __next_zones_zonelist
     0.03%  cubrim   [kernel.kallsyms]  [k] __mod_zone_page_state
     0.02%  cubrim   [kernel.kallsyms]  [k] fpregs_assert_state_consistent
     0.02%  cubrim   [kernel.kallsyms]  [k] pfn_pte
     0.02%  cubrim   [kernel.kallsyms]  [k] irqentry_enter
     0.02%  cubrim   [kernel.kallsyms]  [k] should_fail_alloc_page
     0.02%  cubrim   [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.02%  cubrim   [kernel.kallsyms]  [k] timekeeping_advance
     0.02%  cubrim   [kernel.kallsyms]  [k] consume_stock
     0.02%  cubrim   [kernel.kallsyms]  [k] x86_pmu_disable_all
     0.02%  cubrim   [kernel.kallsyms]  [k] native_read_msr
     0.02%  cubrim   [kernel.kallsyms]  [k] pmd_val
     0.02%  cubrim   [kernel.kallsyms]  [k] p4d_offset
     0.02%  cubrim   [kernel.kallsyms]  [k] cond_accept_memory
     0.02%  cubrim   [kernel.kallsyms]  [k] __raw_spin_lock_irqsave
     0.02%  cubrim   [kernel.kallsyms]  [k] kthread_blkcg
     0.02%  cubrim   [kernel.kallsyms]  [k] read_tsc
     0.02%  cubrim   [kernel.kallsyms]  [k] free_unref_page_prepare
     0.02%  cubrim   [kernel.kallsyms]  [k] folio_mapping
     0.02%  cubrim   [kernel.kallsyms]  [k] _find_next_bit
     0.02%  cubrim   [kernel.kallsyms]  [k] ktime_get_update_offsets_now
     0.02%  cubrim   [kernel.kallsyms]  [k] native_write_msr
     0.02%  cubrim   [kernel.kallsyms]  [k] pte_val
     0.02%  cubrim   [kernel.kallsyms]  [k] sched_clock_cpu
     0.02%  cubrim   [kernel.kallsyms]  [k] task_tick_fair
     0.01%  cubrim   [kernel.kallsyms]  [k] _raw_spin_trylock
     0.01%  cubrim   [kernel.kallsyms]  [k] pte_pfn
     0.01%  cubrim   [kernel.kallsyms]  [k] free_swap_cache
     0.01%  cubrim   [kernel.kallsyms]  [k] free_unref_page_commit
     0.01%  cubrim   [kernel.kallsyms]  [k] update_vdso_data.constprop.0
     0.01%  cubrim   [kernel.kallsyms]  [k] pte_mkwrite
     0.01%  cubrim   [kernel.kallsyms]  [k] sugov_update_single_freq
     0.01%  cubrim   [kernel.kallsyms]  [k] __mem_cgroup_uncharge_list
     0.01%  cubrim   [kernel.kallsyms]  [k] delay_halt
     0.01%  cubrim   [kernel.kallsyms]  [k] update_curr
     0.01%  cubrim   [kernel.kallsyms]  [k] __cond_resched
     0.01%  cubrim   [kernel.kallsyms]  [k] folio_prep_large_rmappable
     0.01%  cubrim   [kernel.kallsyms]  [k] __update_load_avg_se
     0.01%  cubrim   [kernel.kallsyms]  [k] vm_normal_page
     0.01%  cubrim   [kernel.kallsyms]  [k] tick_do_update_jiffies64
     0.01%  cubrim   [kernel.kallsyms]  [k] hrtimer_active
     0.01%  cubrim   [kernel.kallsyms]  [k] update_cfs_group
     0.01%  cubrim   [kernel.kallsyms]  [k] sugov_should_update_freq
     0.01%  cubrim   [kernel.kallsyms]  [k] __x86_indirect_thunk_rax
     0.01%  cubrim   [kernel.kallsyms]  [k] _find_first_bit
     0.01%  cubrim   [kernel.kallsyms]  [k] raw_notifier_call_chain
     0.01%  cubrim   [kernel.kallsyms]  [k] trace_rss_stat
     0.01%  cubrim   [kernel.kallsyms]  [k] folio_lruvec_lock_irqsave
     0.01%  cubrim   [kernel.kallsyms]  [k] update_load_avg
     0.00%  cubrim   [kernel.kallsyms]  [k] task_tick_mm_cid
     0.00%  cubrim   [kernel.kallsyms]  [k] ktime_get
     0.00%  cubrim   [kernel.kallsyms]  [k] amd_pmu_addr_offset
     0.00%  cubrim   [kernel.kallsyms]  [k] notifier_call_chain
     0.00%  cubrim   [kernel.kallsyms]  [k] __x86_indirect_thunk_r14
     0.00%  cubrim   [kernel.kallsyms]  [k] native_sched_clock
     0.00%  cubrim   [kernel.kallsyms]  [k] amd_pmu_test_overflow_topbit
     0.00%  cubrim   [kernel.kallsyms]  [k] tick_nohz_highres_handler
     0.00%  cubrim   [kernel.kallsyms]  [k] rcu_segcblist_ready_cbs
     0.00%  cubrim   [kernel.kallsyms]  [k] scheduler_tick
     0.00%  cubrim   [kernel.kallsyms]  [k] delay_halt_mwaitx
     0.00%  cubrim   [kernel.kallsyms]  [k] rcu_sched_clock_irq
     0.00%  cubrim   [kernel.kallsyms]  [k] update_rq_clock
     0.00%  cubrim   [kernel.kallsyms]  [k] page_counter_try_charge
     0.00%  cubrim   [kernel.kallsyms]  [k] task_mm_cid_work
     0.00%  cubrim   [kernel.kallsyms]  [k] sched_core_idle_cpu
     0.00%  cubrim   [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.00%  cubrim   [kernel.kallsyms]  [k] hrtimer_interrupt
     0.00%  cubrim   [kernel.kallsyms]  [k] __irq_exit_rcu
     0.00%  cubrim   [kernel.kallsyms]  [k] amd_pmu_check_overflow
     0.00%  cubrim   [kernel.kallsyms]  [k] sched_clock
     0.00%  cubrim   [kernel.kallsyms]  [k] __iommu_queue_command_sync
     0.00%  cubrim   [kernel.kallsyms]  [k] entry_untrain_ret
     0.00%  cubrim   [kernel.kallsyms]  [k] update_vsyscall
     0.00%  cubrim   [kernel.kallsyms]  [k] delay_halt.part.0
     0.00%  cubrim   [kernel.kallsyms]  [k] update_process_times
     0.00%  cubrim   [kernel.kallsyms]  [k] move_ptes.isra.0
     0.00%  cubrim   [kernel.kallsyms]  [k] __remove_hrtimer
     0.00%  cubrim   [kernel.kallsyms]  [k] perf_event_task_tick
     0.00%  cubrim   [kernel.kallsyms]  [k] x86_pmu_disable
     0.00%  cubrim   [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.00%  cubrim   [kernel.kallsyms]  [k] tick_sched_handle
     0.00%  cubrim   [kernel.kallsyms]  [k] timekeeping_adjust.constprop.0
     0.00%  cubrim   [kernel.kallsyms]  [k] hrtimer_forward
     0.00%  cubrim   [kernel.kallsyms]  [k] sched_clock_tick
     0.00%  cubrim   [kernel.kallsyms]  [k] timekeeping_update
     0.00%  cubrim   [kernel.kallsyms]  [k] amd_clear_divider
     0.00%  cubrim   [kernel.kallsyms]  [k] rcu_pending
     0.00%  cubrim   [kernel.kallsyms]  [k] account_system_index_time
     0.00%  cubrim   [kernel.kallsyms]  [k] account_user_time
     0.00%  cubrim   [kernel.kallsyms]  [k] irq_work_tick
     0.00%  cubrim   [kernel.kallsyms]  [k] native_apic_mem_eoi
     0.00%  cubrim   [kernel.kallsyms]  [k] lru_add_drain_cpu
     0.00%  cubrim   [kernel.kallsyms]  [k] __tlb_remove_page_size
     0.00%  cubrim   [kernel.kallsyms]  [k] pvclock_gtod_notify
     0.00%  cubrim   [kernel.kallsyms]  [k] call_function_single_prep_ipi
     0.00%  cubrim   [kernel.kallsyms]  [k] __es_tree_search.isra.0
     0.00%  cubrim   [kernel.kallsyms]  [k] memcg_check_events
     0.00%  cubrim   [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.00%  cubrim   [kernel.kallsyms]  [k] idle_cpu
     0.00%  taskset  [kernel.kallsyms]  [k] down_read_trylock
     0.00%  cubrim   [kernel.kallsyms]  [k] update_fast_timekeeper
     0.00%  taskset  [kernel.kallsyms]  [k] zap_pte_range
     0.00%  cubrim   cubrim             [.] cubrim::cm2::Apm::new
     0.00%  taskset  [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.00%  taskset  [kernel.kallsyms]  [k] mas_walk
     0.00%  perf-ex  [kernel.kallsyms]  [k] perf_event_exec
     0.00%  taskset  [kernel.kallsyms]  [k] _raw_spin_lock_irq


#
# (Cannot load tips.txt file, please install perf!)
#
