cell	share_percent	amdahl_ceiling	bucket	dso	symbol
dickens/max	0.03	1.000300	kernel	[kernel.kallsyms]	do_wp_page
dickens/max	0.03	1.000300	kernel	[kernel.kallsyms]	pte_offset_map_nolock
dickens/max	0.03	1.000300	kernel	[kernel.kallsyms]	pud_val
dickens/max	0.03	1.000300	kernel	[kernel.kallsyms]	alloc_pages_mpol
dickens/max	0.03	1.000300	kernel	[kernel.kallsyms]	try_charge_memcg
dickens/max	0.03	1.000300	kernel	[kernel.kallsyms]	native_write_msr
dickens/max	0.03	1.000300	kernel	[kernel.kallsyms]	access_error
dickens/max	0.03	1.000300	kernel	[kernel.kallsyms]	ktime_get_update_offsets_now
dickens/max	0.03	1.000300	kernel	[kernel.kallsyms]	irqentry_exit
dickens/max	0.03	1.000300	kernel	[kernel.kallsyms]	folio_add_lru
dickens/max	0.03	1.000300	kernel	[kernel.kallsyms]	_raw_spin_unlock
dickens/max	0.02	1.000200	kernel	[kernel.kallsyms]	set_ptes.isra.0
dickens/max	0.02	1.000200	kernel	[kernel.kallsyms]	__mod_zone_page_state
dickens/max	0.02	1.000200	kernel	[kernel.kallsyms]	folio_add_lru_vma
dickens/max	0.02	1.000200	kernel	[kernel.kallsyms]	kthread_blkcg
dickens/max	0.02	1.000200	kernel	[kernel.kallsyms]	asm_sysvec_apic_timer_interrupt
dickens/max	0.02	1.000200	kernel	[kernel.kallsyms]	policy_nodemask
dickens/max	0.02	1.000200	kernel	[kernel.kallsyms]	__next_zones_zonelist
dickens/max	0.02	1.000200	kernel	[kernel.kallsyms]	consume_stock
dickens/max	0.02	1.000200	kernel	[kernel.kallsyms]	up_read
dickens/max	0.02	1.000200	kernel	[kernel.kallsyms]	timekeeping_advance
dickens/max	0.02	1.000200	kernel	[kernel.kallsyms]	down_read_trylock
dickens/max	0.02	1.000200	kernel	[kernel.kallsyms]	__irqentry_text_end
dickens/max	0.02	1.000200	kernel	[kernel.kallsyms]	pmd_val
dickens/max	0.02	1.000200	kernel	[kernel.kallsyms]	update_cfs_group
dickens/max	0.02	1.000200	kernel	[kernel.kallsyms]	percpu_counter_add_batch
dickens/max	0.02	1.000200	kernel	[kernel.kallsyms]	free_pcppages_bulk
dickens/max	0.02	1.000200	kernel	[kernel.kallsyms]	__raw_spin_lock_irqsave
dickens/max	0.02	1.000200	kernel	[kernel.kallsyms]	alloc_anon_folio
dickens/max	0.02	1.000200	kernel	[kernel.kallsyms]	folio_mapping
dickens/max	0.02	1.000200	kernel	[kernel.kallsyms]	folio_remove_rmap_ptes
dickens/max	0.02	1.000200	kernel	[kernel.kallsyms]	__const_udelay
dickens/max	0.02	1.000200	kernel	[kernel.kallsyms]	free_unref_page_prepare
dickens/max	0.02	1.000200	kernel	[kernel.kallsyms]	irqentry_enter
dickens/max	0.02	1.000200	kernel	[kernel.kallsyms]	mem_cgroup_from_task
dickens/max	0.02	1.000200	kernel	[kernel.kallsyms]	free_swap_cache
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	ptep_clear_flush
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	get_pfnblock_flags_mask
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	free_unref_page_commit
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	should_fail_alloc_page
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	x86_pmu_disable_all
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	pte_mkwrite
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	post_alloc_hook
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	update_load_avg
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	__mem_cgroup_uncharge_list
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	task_mm_cid_work
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	srso_return_thunk
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	get_vma_policy
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	tick_do_update_jiffies64
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	flush_tlb_func
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	pte_pfn
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	read_tsc
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	_raw_spin_trylock
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	fpregs_assert_state_consistent
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	vm_normal_page
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	__update_load_avg_cfs_rq
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	ktime_get
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	cond_accept_memory
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	update_curr
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	account_user_time
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	amd_pmu_addr_offset
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	memcg_check_events
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	sched_clock_cpu
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	folio_lruvec_lock_irqsave
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	tick_sched_do_timer
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	hrtimer_interrupt
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	p4d_offset
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	delay_halt
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	irq_work_tick
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	pvclock_gtod_notify
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	folio_prep_large_rmappable
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	__update_load_avg_se
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	pfn_pte
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	_find_first_bit
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	task_tick_fair
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	scheduler_tick
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	amd_clear_divider
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	_find_next_bit
dickens/max	0.01	1.000100	kernel	[kernel.kallsyms]	__cond_resched
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	acct_account_cputime
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	update_vdso_data.constprop.0
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	perf_event_task_tick
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	__tlb_remove_page_size
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	sugov_update_single_freq
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	__hrtimer_run_queues
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	arch_scale_freq_tick
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	trace_rss_stat
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	check_cpu_stall
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	notifier_call_chain
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	free_pages_and_swap_cache
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	sugov_should_update_freq
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	raw_notifier_call_chain
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	update_curr_se
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	__cgroup_account_cputime_field
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	tick_nohz_highres_handler
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	__x86_indirect_thunk_r14
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	update_vsyscall
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	timekeeping_update
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	sysvec_apic_timer_interrupt
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	delay_halt_mwaitx
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	pte_val
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	x86_pmu_disable
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	native_apic_mem_eoi
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	__calc_delta.constprop.0
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	update_process_times
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	hrtimer_active
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	__update_blocked_fair
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	load_balance
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	update_fast_timekeeper
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	calc_global_load_tick
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	rcu_pending
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	native_sched_clock
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	entry_untrain_ret
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	irq_enter_rcu
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	rb_erase
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	update_sd_lb_stats.constprop.0
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	native_set_pte
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	native_irq_return_iret
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	calc_global_load
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	sched_clock
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	avg_vruntime
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	tick_nohz_get_idle_calls_cpu
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	ntp_tick_length
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	_raw_spin_lock_irqsave
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	__memcg_kmem_charge_page
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	mksaveddirty_shift
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	task_tick_mm_cid
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	delay_halt.part.0
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	update_wall_time
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	find_busiest_group
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	cpu_util
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	__run_timers
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	free_iova_fast
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	__irq_exit_rcu
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	clockevents_program_event
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	__hrtimer_next_event_base
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	sched_core_idle_cpu
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	arch_check_zapped_pte
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	__x86_indirect_thunk_rax
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	invoke_rcu_core
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	task_work_add
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	rb_next
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	get_next_freq.constprop.0
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	raw_spin_rq_lock_nested
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	sched_clock_tick
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	do_vmi_align_munmap
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	ntp_get_next_leap
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	resched_curr
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	__nf_conntrack_find_get
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	__mem_cgroup_threshold
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	run_posix_cpu_timers
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	rebalance_domains
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	pte_alloc_one
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	alloc_pages
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	rcu_sched_clock_irq
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	nft_do_chain
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	__radix_tree_lookup
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	note_gp_changes
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	psi_task_switch
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	amd_pmu_test_overflow_topbit
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	dma_map_page_attrs
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	tick_program_event
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	timerqueue_add
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	memset_orig
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	sk_reset_timer
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	perf_ctx_disable
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	page_counter_try_charge
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	irq_work_run_list
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	memcg_account_kmem
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	mas_wr_node_store
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	__refill_stock
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	refill_stock
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	psi_flags_change
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	fq_flush_timeout
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	___pte_free_tlb
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	update_group_capacity
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	select_task_rq
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	irq_exit_rcu
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	lruvec_stat_mod_folio.constprop.0
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	update_sg_lb_stats
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	balance_dirty_pages_ratelimited_flags
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	native_send_call_func_single_ipi
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	ext4_da_write_end
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	mm_counter
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	hrtimer_update_next_event
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	psi_task_change
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	fault_in_readable
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	node_dirty_ok
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	node_page_state
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	next_uptodate_folio
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	unmap_vmas
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	rep_movs_alternative
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	srso_safe_ret
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	set_pte_range
dickens/max	0.00	1.000000	kernel	[kernel.kallsyms]	perf_event_exec
xml/max	50.01	2.000400	cm2_predict_bit	cubrim-3a13f48	_RNvMs4_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_7CmModel11predict_bit
xml/max	29.42	1.416832	cm2_ctr_upd	cubrim-3a13f48	_RNvMs0_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_3Ctr3upd
xml/max	8.50	1.092896	cm2_update_bit	cubrim-3a13f48	_RNvMs4_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_7CmModel10update_bit
xml/max	1.82	1.018537	cm2_match_end	cubrim-3a13f48	_RNvMs3_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_5Match3end
xml/max	0.79	1.007963	kernel	[kernel.kallsyms]	clear_page_rep
xml/max	0.61	1.006137	cm2_start_byte	cubrim-3a13f48	_RNvMs4_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_7CmModel10start_byte
xml/max	0.58	1.005834	cm2_decode_shell	cubrim-3a13f48	_RNvNtCs4nLXsUdxWI4_6cubrim3cm210cm2_decode
xml/max	0.54	1.005429	kernel	[kernel.kallsyms]	asm_exc_page_fault
xml/max	0.31	1.003110	kernel	[kernel.kallsyms]	zap_pte_range
xml/max	0.31	1.003110	kernel	[kernel.kallsyms]	__handle_mm_fault
xml/max	0.31	1.003110	kernel	[kernel.kallsyms]	srso_safe_ret
xml/max	0.25	1.002506	kernel	[kernel.kallsyms]	__rcu_read_unlock
xml/max	0.21	1.002104	kernel	[kernel.kallsyms]	__mod_memcg_lruvec_state
xml/max	0.21	1.002104	kernel	[kernel.kallsyms]	handle_mm_fault
xml/max	0.21	1.002104	cm2_ctr_new	cubrim-3a13f48	_RNvMs0_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_3Ctr3new
xml/max	0.19	1.001904	kernel	[kernel.kallsyms]	rmqueue_bulk
xml/max	0.18	1.001803	kernel	[kernel.kallsyms]	__free_one_page
xml/max	0.17	1.001703	kernel	[kernel.kallsyms]	wp_page_copy
xml/max	0.17	1.001703	kernel	[kernel.kallsyms]	do_anonymous_page
xml/max	0.14	1.001402	kernel	[kernel.kallsyms]	handle_pte_fault
xml/max	0.12	1.001201	kernel	[kernel.kallsyms]	exc_page_fault
xml/max	0.12	1.001201	kernel	[kernel.kallsyms]	lock_vma_under_rcu
xml/max	0.12	1.001201	kernel	[kernel.kallsyms]	lru_gen_del_folio.constprop.0
xml/max	0.12	1.001201	kernel	[kernel.kallsyms]	do_user_addr_fault
xml/max	0.12	1.001201	kernel	[kernel.kallsyms]	__pte_offset_map
xml/max	0.12	1.001201	kernel	[kernel.kallsyms]	__rcu_read_lock
xml/max	0.11	1.001101	kernel	[kernel.kallsyms]	__count_memcg_events
xml/max	0.11	1.001101	kernel	[kernel.kallsyms]	_raw_spin_lock
xml/max	0.11	1.001101	kernel	[kernel.kallsyms]	mem_cgroup_commit_charge
xml/max	0.10	1.001001	kernel	[kernel.kallsyms]	mas_walk
xml/max	0.10	1.001001	kernel	[kernel.kallsyms]	__alloc_pages
xml/max	0.09	1.000901	kernel	[kernel.kallsyms]	arch_exit_to_user_mode_prepare.isra.0
xml/max	0.09	1.000901	kernel	[kernel.kallsyms]	blk_cgroup_congested
xml/max	0.09	1.000901	kernel	[kernel.kallsyms]	lru_add_fn
xml/max	0.09	1.000901	kernel	[kernel.kallsyms]	__mem_cgroup_charge
xml/max	0.09	1.000901	kernel	[kernel.kallsyms]	__mod_lruvec_state
xml/max	0.09	1.000901	kernel	[kernel.kallsyms]	__lruvec_stat_mod_folio
xml/max	0.09	1.000901	cm2_end_byte	cubrim-3a13f48	_RNvMs4_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_7CmModel8end_byte
xml/max	0.09	1.000901	kernel	[kernel.kallsyms]	lru_gen_add_folio
xml/max	0.08	1.000801	kernel	[kernel.kallsyms]	sync_regs
xml/max	0.08	1.000801	kernel	[kernel.kallsyms]	get_mem_cgroup_from_mm
xml/max	0.07	1.000700	kernel	[kernel.kallsyms]	rmqueue
xml/max	0.07	1.000700	kernel	[kernel.kallsyms]	cgroup_rstat_updated
xml/max	0.07	1.000700	kernel	[kernel.kallsyms]	error_entry
xml/max	0.07	1.000700	kernel	[kernel.kallsyms]	perf_adjust_freq_unthr_context
xml/max	0.07	1.000700	kernel	[kernel.kallsyms]	_raw_spin_unlock
xml/max	0.07	1.000700	kernel	[kernel.kallsyms]	__pte_offset_map_lock
xml/max	0.06	1.000600	kernel	[kernel.kallsyms]	get_page_from_freelist
xml/max	0.06	1.000600	kernel	[kernel.kallsyms]	count_memcg_events.constprop.0
xml/max	0.06	1.000600	kernel	[kernel.kallsyms]	release_pages
xml/max	0.05	1.000500	kernel	[kernel.kallsyms]	__rmqueue_pcplist
xml/max	0.05	1.000500	kernel	[kernel.kallsyms]	__mod_node_page_state
xml/max	0.05	1.000500	kernel	[kernel.kallsyms]	do_wp_page
xml/max	0.05	1.000500	kernel	[kernel.kallsyms]	folio_add_new_anon_rmap
xml/max	0.05	1.000500	kernel	[kernel.kallsyms]	native_read_msr
xml/max	0.05	1.000500	kernel	[kernel.kallsyms]	uncharge_folio
xml/max	0.05	1.000500	kernel	[kernel.kallsyms]	free_unref_page_list
xml/max	0.05	1.000500	kernel	[kernel.kallsyms]	vma_alloc_folio
xml/max	0.05	1.000500	kernel	[kernel.kallsyms]	folio_batch_move_lru
xml/max	0.04	1.000400	kernel	[kernel.kallsyms]	percpu_counter_add_batch
xml/max	0.04	1.000400	kernel	[kernel.kallsyms]	native_flush_tlb_one_user
xml/max	0.04	1.000400	kernel	[kernel.kallsyms]	__next_zones_zonelist
xml/max	0.04	1.000400	kernel	[kernel.kallsyms]	error_return
xml/max	0.04	1.000400	kernel	[kernel.kallsyms]	get_pfnblock_flags_mask
xml/max	0.04	1.000400	kernel	[kernel.kallsyms]	__const_udelay
xml/max	0.04	1.000400	kernel	[kernel.kallsyms]	asm_sysvec_apic_timer_interrupt
xml/max	0.04	1.000400	kernel	[kernel.kallsyms]	folio_add_lru_vma
xml/max	0.04	1.000400	kernel	[kernel.kallsyms]	irqentry_exit
