# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 78K of event 'cycles'
# Event count (approx.): 263683053863
#
# Overhead  Command  Shared Object      Symbol                                   
# ........  .......  .................  .........................................
#
     0.01%  cubrim   [kernel.kallsyms]  [k] __count_memcg_events
     0.01%  cubrim   [kernel.kallsyms]  [k] __rcu_read_unlock
     0.01%  cubrim   [kernel.kallsyms]  [k] asm_exc_page_fault
     0.01%  cubrim   [kernel.kallsyms]  [k] timekeeping_update
     0.01%  cubrim   [kernel.kallsyms]  [k] pvclock_gtod_notify
     0.01%  cubrim   [kernel.kallsyms]  [k] hrtimer_active
     0.01%  cubrim   [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.01%  cubrim   [kernel.kallsyms]  [k] __lruvec_stat_mod_folio
     0.01%  cubrim   [kernel.kallsyms]  [k] task_tick_fair
     0.01%  cubrim   [kernel.kallsyms]  [k] calc_global_load_tick
     0.01%  cubrim   [kernel.kallsyms]  [k] irqentry_exit
     0.01%  cubrim   [kernel.kallsyms]  [k] tick_nohz_highres_handler
     0.01%  cubrim   [kernel.kallsyms]  [k] arch_scale_freq_tick
     0.00%  cubrim   [kernel.kallsyms]  [k] handle_pte_fault
     0.00%  cubrim   [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.00%  cubrim   [kernel.kallsyms]  [k] __mod_memcg_lruvec_state
     0.00%  cubrim   [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.00%  cubrim   [kernel.kallsyms]  [k] rmqueue_bulk
     0.00%  cubrim   [kernel.kallsyms]  [k] sugov_should_update_freq
     0.00%  cubrim   [kernel.kallsyms]  [k] amd_pmu_check_overflow
     0.00%  cubrim   [kernel.kallsyms]  [k] native_sched_clock
     0.00%  cubrim   [kernel.kallsyms]  [k] calc_global_load
     0.00%  cubrim   [kernel.kallsyms]  [k] sync_regs
     0.00%  cubrim   [kernel.kallsyms]  [k] uncharge_folio
     0.00%  cubrim   [kernel.kallsyms]  [k] update_vsyscall
     0.00%  cubrim   [kernel.kallsyms]  [k] tick_sched_do_timer
     0.00%  cubrim   [kernel.kallsyms]  [k] rep_movs_alternative
     0.00%  cubrim   [kernel.kallsyms]  [k] arch_exit_to_user_mode_prepare.isra.0
     0.00%  cubrim   [kernel.kallsyms]  [k] blk_cgroup_congested
     0.00%  cubrim   [kernel.kallsyms]  [k] lru_gen_add_folio
     0.00%  cubrim   [kernel.kallsyms]  [k] do_anonymous_page
     0.00%  cubrim   [kernel.kallsyms]  [k] __rcu_read_lock
     0.00%  cubrim   [kernel.kallsyms]  [k] do_user_addr_fault
     0.00%  cubrim   [kernel.kallsyms]  [k] __x86_indirect_thunk_rax
     0.00%  cubrim   [kernel.kallsyms]  [k] update_fast_timekeeper
     0.00%  cubrim   [kernel.kallsyms]  [k] acct_account_cputime
     0.00%  cubrim   [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.00%  cubrim   [kernel.kallsyms]  [k] notifier_call_chain
     0.00%  cubrim   [kernel.kallsyms]  [k] hrtimer_interrupt
     0.00%  cubrim   [kernel.kallsyms]  [k] percpu_counter_add_batch
     0.00%  cubrim   [kernel.kallsyms]  [k] perf_ctx_disable
     0.00%  cubrim   [kernel.kallsyms]  [k] irq_exit_rcu
     0.00%  cubrim   [kernel.kallsyms]  [k] rb_erase
     0.00%  cubrim   [kernel.kallsyms]  [k] fpregs_assert_state_consistent
     0.00%  cubrim   [kernel.kallsyms]  [k] idle_cpu
     0.00%  cubrim   [kernel.kallsyms]  [k] alloc_anon_folio
     0.00%  cubrim   [kernel.kallsyms]  [k] handle_mm_fault
     0.00%  cubrim   [kernel.kallsyms]  [k] lru_gen_del_folio.constprop.0
     0.00%  cubrim   [kernel.kallsyms]  [k] mas_walk
     0.00%  cubrim   [kernel.kallsyms]  [k] _raw_spin_unlock
     0.00%  cubrim   [kernel.kallsyms]  [k] handle_softirqs
     0.00%  cubrim   [kernel.kallsyms]  [k] __rmqueue_pcplist
     0.00%  cubrim   [kernel.kallsyms]  [k] ntp_tick_length
     0.00%  cubrim   [kernel.kallsyms]  [k] clockevents_program_event
     0.00%  cubrim   [kernel.kallsyms]  [k] x86_pmu_disable
     0.00%  cubrim   [kernel.kallsyms]  [k] lru_add_fn
     0.00%  cubrim   [kernel.kallsyms]  [k] __next_zones_zonelist
     0.00%  cubrim   [kernel.kallsyms]  [k] native_flush_tlb_one_user
     0.00%  cubrim   [kernel.kallsyms]  [k] folio_mapping
     0.00%  cubrim   [kernel.kallsyms]  [k] __pte_offset_map
     0.00%  cubrim   [kernel.kallsyms]  [k] __calc_delta.constprop.0
     0.00%  cubrim   [kernel.kallsyms]  [k] irq_work_tick
     0.00%  cubrim   [kernel.kallsyms]  [k] rcu_pending
     0.00%  cubrim   [kernel.kallsyms]  [k] raw_spin_rq_lock_nested
     0.00%  cubrim   [kernel.kallsyms]  [k] __x86_indirect_thunk_r12
     0.00%  cubrim   [kernel.kallsyms]  [k] task_work_add
     0.00%  cubrim   [kernel.kallsyms]  [k] raw_notifier_call_chain
     0.00%  cubrim   [kernel.kallsyms]  [k] rcu_segcblist_ready_cbs
     0.00%  cubrim   [kernel.kallsyms]  [k] delay_halt.part.0
     0.00%  cubrim   [kernel.kallsyms]  [k] __remove_hrtimer
     0.00%  cubrim   [kernel.kallsyms]  [k] ntp_get_next_leap
     0.00%  cubrim   [kernel.kallsyms]  [k] folio_add_lru_vma
     0.00%  cubrim   [kernel.kallsyms]  [k] rb_next
     0.00%  cubrim   [kernel.kallsyms]  [k] __alloc_pages
     0.00%  cubrim   [kernel.kallsyms]  [k] get_vma_policy
     0.00%  cubrim   [kernel.kallsyms]  [k] mark_buffer_dirty
     0.00%  cubrim   [kernel.kallsyms]  [k] lapic_next_event
     0.00%  cubrim   [kernel.kallsyms]  [k] update_sg_lb_stats
     0.00%  cubrim   [kernel.kallsyms]  [k] set_ptes.isra.0
     0.00%  cubrim   [kernel.kallsyms]  [k] block_write_end
     0.00%  cubrim   [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.00%  cubrim   [kernel.kallsyms]  [k] kick_pool
     0.00%  cubrim   [kernel.kallsyms]  [k] xas_store
     0.00%  cubrim   [kernel.kallsyms]  [k] fault_in_readable
     0.00%  cubrim   [kernel.kallsyms]  [k] nft_do_chain
     0.00%  cubrim   [kernel.kallsyms]  [k] update_sd_pick_busiest
     0.00%  cubrim   [kernel.kallsyms]  [k] zap_pte_range
     0.00%  cubrim   [kernel.kallsyms]  [k] alloc_buffer_head
     0.00%  cubrim   [kernel.kallsyms]  [k] tick_sched_handle
     0.00%  cubrim   [kernel.kallsyms]  [k] sched_clock
     0.00%  cubrim   [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.00%  cubrim   [kernel.kallsyms]  [k] error_return
     0.00%  cubrim   [kernel.kallsyms]  [k] find_busiest_group
     0.00%  cubrim   [kernel.kallsyms]  [k] folio_remove_rmap_ptes
     0.00%  cubrim   [kernel.kallsyms]  [k] __cgroup_account_cputime
     0.00%  cubrim   [kernel.kallsyms]  [k] update_rt_rq_load_avg
     0.00%  cubrim   [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.00%  cubrim   [kernel.kallsyms]  [k] note_gp_changes
     0.00%  cubrim   [kernel.kallsyms]  [k] __run_timers
     0.00%  cubrim   [kernel.kallsyms]  [k] sched_core_idle_cpu
     0.00%  cubrim   [kernel.kallsyms]  [k] rmqueue
     0.00%  cubrim   [kernel.kallsyms]  [k] __update_blocked_fair
     0.00%  cubrim   [kernel.kallsyms]  [k] __irq_exit_rcu
     0.00%  cubrim   [kernel.kallsyms]  [k] free_unref_page_list
     0.00%  cubrim   [kernel.kallsyms]  [k] cond_accept_memory
     0.00%  cubrim   [kernel.kallsyms]  [k] rebalance_domains
     0.00%  cubrim   [kernel.kallsyms]  [k] llist_add_batch
     0.00%  cubrim   [kernel.kallsyms]  [k] schedule_debug.isra.0
     0.00%  cubrim   [kernel.kallsyms]  [k] __mem_cgroup_uncharge_list
     0.00%  cubrim   [kernel.kallsyms]  [k] __cgroup_account_cputime_field
     0.00%  cubrim   [kernel.kallsyms]  [k] __free_one_page
     0.00%  cubrim   [kernel.kallsyms]  [k] rcu_sched_clock_irq
     0.00%  cubrim   [kernel.kallsyms]  [k] __slab_free
     0.00%  cubrim   [kernel.kallsyms]  [k] load_balance
     0.00%  cubrim   [kernel.kallsyms]  [k] irq_work_run_list
     0.00%  cubrim   [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.00%  cubrim   [kernel.kallsyms]  [k] effective_cpu_util
     0.00%  cubrim   [kernel.kallsyms]  [k] delay_halt
     0.00%  cubrim   [kernel.kallsyms]  [k] cpuacct_charge
     0.00%  cubrim   [kernel.kallsyms]  [k] __hrtimer_next_event_base
     0.00%  cubrim   [kernel.kallsyms]  [k] invoke_rcu_core
     0.00%  cubrim   [kernel.kallsyms]  [k] xas_start
     0.00%  taskset  [kernel.kallsyms]  [k] current_time
     0.00%  taskset  [kernel.kallsyms]  [k] srso_safe_ret
     0.00%  cubrim   [kernel.kallsyms]  [k] may_expand_vm
     0.00%  cubrim   [kernel.kallsyms]  [k] pmd_val
     0.00%  cubrim   [kernel.kallsyms]  [k] lock_vma_under_rcu
     0.00%  cubrim   [kernel.kallsyms]  [k] __folio_throttle_swaprate
     0.00%  cubrim   [kernel.kallsyms]  [k] folio_add_lru
     0.00%  cubrim   [kernel.kallsyms]  [k] post_alloc_hook
     0.00%  cubrim   [kernel.kallsyms]  [k] folio_batch_move_lru
     0.00%  cubrim   [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.00%  cubrim   [kernel.kallsyms]  [k] down_read_trylock
     0.00%  cubrim   [kernel.kallsyms]  [k] flush_tlb_func
     0.00%  cubrim   [kernel.kallsyms]  [k] alloc_pages_mpol
     0.00%  cubrim   [kernel.kallsyms]  [k] srso_return_thunk
     0.00%  taskset  [kernel.kallsyms]  [k] vma_adjust_trans_huge
     0.00%  taskset  [kernel.kallsyms]  [k] sched_clock
     0.00%  cubrim   [kernel.kallsyms]  [k] mem_cgroup_handle_over_high
     0.00%  taskset  [kernel.kallsyms]  [k] affine_move_task
     0.00%  perf-ex  [kernel.kallsyms]  [k] perf_event_exec


#
# (Cannot load tips.txt file, please install perf!)
#
