# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 78K of event 'cycles'
# Event count (approx.): 262981754568
#
# Overhead  Command  Shared Object      Symbol                                   
# ........  .......  .................  .........................................
#
     0.00%  cubrim   [kernel.kallsyms]  [k] __filemap_get_folio
     0.00%  cubrim   [kernel.kallsyms]  [k] hrtimer_update_next_event
     0.00%  cubrim   [kernel.kallsyms]  [k] shuffle_freelist
     0.00%  cubrim   [kernel.kallsyms]  [k] rb_erase
     0.00%  cubrim   [kernel.kallsyms]  [k] balance_dirty_pages_ratelimited
     0.00%  cubrim   [kernel.kallsyms]  [k] mark_buffer_dirty
     0.00%  cubrim   [kernel.kallsyms]  [k] __irqentry_text_end
     0.00%  cubrim   [kernel.kallsyms]  [k] rep_movs_alternative
     0.00%  cubrim   [kernel.kallsyms]  [k] note_gp_changes
     0.00%  cubrim   [kernel.kallsyms]  [k] _find_next_bit
     0.00%  cubrim   [kernel.kallsyms]  [k] ext4_da_get_block_prep
     0.00%  cubrim   [kernel.kallsyms]  [k] rmqueue
     0.00%  cubrim   [kernel.kallsyms]  [k] rb_next
     0.00%  cubrim   [kernel.kallsyms]  [k] srso_return_thunk
     0.00%  cubrim   [kernel.kallsyms]  [k] consume_stock
     0.00%  cubrim   [kernel.kallsyms]  [k] default_send_IPI_single_phys
     0.00%  cubrim   [kernel.kallsyms]  [k] handle_softirqs
     0.00%  cubrim   [kernel.kallsyms]  [k] sched_clock
     0.00%  cubrim   [kernel.kallsyms]  [k] sugov_get_util
     0.00%  cubrim   [kernel.kallsyms]  [k] run_posix_cpu_timers
     0.00%  taskset  [kernel.kallsyms]  [k] lock_vma_under_rcu
     0.00%  perf-ex  [kernel.kallsyms]  [k] __raw_spin_lock_irqsave
     0.00%  cubrim   [kernel.kallsyms]  [k] __mmdrop
     0.00%  cubrim   [kernel.kallsyms]  [k] mem_cgroup_handle_over_high
     0.00%  taskset  [kernel.kallsyms]  [k] wake_up_var


#
# (Cannot load tips.txt file, please install perf!)
#
