# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 107K of event 'cycles'
# Event count (approx.): 357517132842
#
# Overhead  Command         Shared Object      Symbol                                                           
# ........  ..............  .................  .................................................................
#
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] hrtimer_active
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] rcu_pending
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] hrtimer_interrupt
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] update_vsyscall
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] percpu_counter_add_batch
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] fpregs_assert_state_consistent
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] irq_enter_rcu
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __calc_delta.constprop.0
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] amd_pmu_addr_offset
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] handle_mm_fault
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __rcu_read_unlock
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] do_anonymous_page
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] notifier_call_chain
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __cgroup_account_cputime
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] zap_pte_range
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] tick_nohz_highres_handler
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] sugov_should_update_freq
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] mas_walk
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] lapic_next_event
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] amd_pmu_check_overflow
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] do_user_addr_fault
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __mod_lruvec_state
     0.00%  cubrim-3a13f48  cubrim-3a13f48     [.] _RNvMs0_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_3Ctr3new
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __mod_memcg_lruvec_state
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] x86_pmu_disable
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __x86_indirect_thunk_r12
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] timekeeping_update
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] native_sched_clock
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __count_memcg_events
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] task_tick_fair
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] pvclock_gtod_notify
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] clockevents_program_event
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] irq_work_tick
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] rcu_sched_clock_irq
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] update_process_times
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] fq_flush_timeout
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __rmqueue_pcplist
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] tick_sched_handle
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] tick_sched_do_timer
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] sched_clock
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] perf_event_task_tick
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] arch_scale_freq_tick
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] wp_page_copy
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] folio_batch_move_lru
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] arch_exit_to_user_mode_prepare.isra.0
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] down_read_trylock
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] mem_cgroup_commit_charge
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] native_flush_tlb_one_user
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] amd_brs_disable_all
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] raw_spin_rq_lock_nested
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] effective_cpu_util
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] amd_pmu_test_overflow_topbit
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __free_one_page
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] error_entry
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] cpuacct_account_field
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] native_apic_mem_eoi
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] delay_halt.part.0
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] timekeeping_adjust.constprop.0
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] error_return
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] acct_account_cputime
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] update_sg_lb_stats
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] update_rt_rq_load_avg
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] folio_add_lru
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] free_iova_fast
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] release_pages
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __lruvec_stat_mod_folio
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] psi_task_switch
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] rb_next
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] get_next_freq.constprop.0
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] handle_softirqs
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __alloc_pages
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __irqentry_text_end
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] set_ptes.isra.0
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] policy_nodemask
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] irqentry_enter
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] handle_pte_fault
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] rmqueue
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] vma_alloc_folio
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] mem_cgroup_handle_over_high
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] cpu_util_cfs_boost
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] tick_nohz_get_idle_calls_cpu
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] calc_global_load_tick
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] ntp_tick_length
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] _raw_spin_unlock
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] get_pfnblock_flags_mask
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] nohz_balancer_kick
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] rcu_core_si
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] timerqueue_del
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] amd_clear_divider
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] lru_gen_del_folio.constprop.0
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] cpuacct_charge
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] sugov_get_util
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] delayed_work_timer_fn
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] psi_group_change
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] ntp_get_next_leap
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] raw_notifier_call_chain
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] fq_ring_free_locked
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] load_balance
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] free_unref_page_prepare
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] iommu_completion_wait.isra.0
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] page_counter_cancel
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __remove_hrtimer
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] generic_perform_write
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __next_zones_zonelist
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] llist_add_batch
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] rmqueue_bulk
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] pte_offset_map_nolock
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __irq_exit_rcu
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] nft_match_large_eval
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] drain_stock
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] mlock_future_ok
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] kick_ilb
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] ext4_da_write_begin
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] irq_exit_rcu
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __block_commit_write
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] llist_reverse_order
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __filemap_get_folio
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] tick_program_event
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __x86_indirect_thunk_rax
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __es_insert_extent
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __get_user_8
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] rcu_core
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] _find_next_bit
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] default_send_IPI_single_phys
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] lru_gen_add_folio
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] update_curr_se
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] get_vma_policy
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.00%  taskset         [kernel.kallsyms]  [k] _raw_spin_lock
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] lru_add_fn
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] rep_movs_alternative
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] alloc_pages_mpol
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] should_fail_alloc_page
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] lock_vma_under_rcu
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] pud_val
     0.00%  taskset         [kernel.kallsyms]  [k] copy_page
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __pte_offset_map
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] srso_return_thunk
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] folio_add_new_anon_rmap
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] get_page_from_freelist
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.00%  perf-exec       [kernel.kallsyms]  [k] perf_event_exec
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] finish_task_switch.isra.0
     0.00%  taskset         [kernel.kallsyms]  [k] srso_safe_ret


#
# (Cannot load tips.txt file, please install perf!)
#
