# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 58K of event 'cycles'
# Event count (approx.): 195060167116
#
# Overhead  Command         Shared Object      Symbol                                                           
# ........  ..............  .................  .................................................................
#
     0.05%  cubrim-3a13f48  [kernel.kallsyms]  [k] folio_batch_move_lru
     0.04%  cubrim-3a13f48  [kernel.kallsyms]  [k] percpu_counter_add_batch
     0.04%  cubrim-3a13f48  [kernel.kallsyms]  [k] native_flush_tlb_one_user
     0.04%  cubrim-3a13f48  [kernel.kallsyms]  [k] __next_zones_zonelist
     0.04%  cubrim-3a13f48  [kernel.kallsyms]  [k] error_return
     0.04%  cubrim-3a13f48  [kernel.kallsyms]  [k] get_pfnblock_flags_mask
     0.04%  cubrim-3a13f48  [kernel.kallsyms]  [k] __const_udelay
     0.04%  cubrim-3a13f48  [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.04%  cubrim-3a13f48  [kernel.kallsyms]  [k] folio_add_lru_vma
     0.04%  cubrim-3a13f48  [kernel.kallsyms]  [k] irqentry_exit
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] pud_val
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] __mod_zone_page_state
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] access_error
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] down_read_trylock
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] ktime_get_update_offsets_now
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] folio_remove_rmap_ptes
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] free_swap_cache
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] try_charge_memcg
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] timekeeping_advance
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] alloc_pages_mpol
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] pte_offset_map_nolock
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] __folio_throttle_swaprate
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] consume_stock
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] kthread_blkcg
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] get_vma_policy
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] policy_nodemask
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] update_load_avg
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] folio_add_lru
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] irqentry_enter
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] set_ptes.isra.0
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] post_alloc_hook
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] flush_tlb_func
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] folio_prep_large_rmappable
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] pmd_val
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] folio_mapping
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] sched_clock_cpu
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] free_unref_page_commit
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] update_cfs_group
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] ptep_clear_flush
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] free_pcppages_bulk
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] fpregs_assert_state_consistent
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] read_tsc
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] pfn_pte
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] alloc_anon_folio
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] up_read
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] srso_return_thunk
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] mem_cgroup_from_task
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] __raw_spin_lock_irqsave
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] free_unref_page_prepare
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] pte_mkwrite
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] tick_do_update_jiffies64
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] pte_pfn
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] x86_pmu_disable_all
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] _find_first_bit
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] ktime_get
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] __update_load_avg_se
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] update_curr
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] should_fail_alloc_page
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] delay_halt
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] __mem_cgroup_uncharge_list
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] task_mm_cid_work
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] __irqentry_text_end
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] _raw_spin_trylock
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] vm_normal_page
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] native_write_msr
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] account_user_time
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] __tlb_remove_page_size
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] update_vdso_data.constprop.0
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] trace_rss_stat
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] update_process_times
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] cond_accept_memory
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] _find_next_bit
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] folio_lruvec_lock_irqsave
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] delay_halt_mwaitx
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] __cond_resched
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] arch_scale_freq_tick
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] memcg_check_events
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] smp_call_function_many_cond
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] __x86_indirect_thunk_r14
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] perf_event_task_tick
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] hrtimer_active
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] p4d_offset
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] __irq_exit_rcu
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] sched_clock_tick
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] rcu_segcblist_ready_cbs
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] pvclock_gtod_notify
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] hrtimer_interrupt
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] mksaveddirty_shift
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __run_timers
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] rcu_sched_clock_irq
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] timekeeping_update
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] sugov_get_util
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] fq_flush_timeout
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] amd_pmu_addr_offset
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] amd_clear_divider
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] notifier_call_chain
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] update_vsyscall
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] irq_enter_rcu
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.00%  taskset         [kernel.kallsyms]  [k] copy_page
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] amd_brs_disable_all
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] tick_sched_do_timer
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] task_tick_fair
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] rb_erase
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] task_tick_mm_cid
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] sched_clock_noinstr
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] update_fast_timekeeper
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] update_rq_clock
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] native_sched_clock
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] mm_counter
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] calc_global_load_tick
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] hrtimer_run_queues
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] check_cpu_stall
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] update_curr_se
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] irq_exit_rcu
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] delay_halt.part.0
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] on_each_cpu_cond_mask
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] unlink_anon_vmas
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] cpuacct_charge
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] free_iova_fast
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] irqentry_enter_from_user_mode
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] reweight_entity
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] rcu_pending
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] avg_vruntime
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] cpu_util_cfs_boost
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] iommu_completion_wait.isra.0
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] delayed_work_timer_fn
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __memcg_kmem_charge_page
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] load_balance
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] update_sd_lb_stats.constprop.0
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] raw_notifier_call_chain
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __bitmap_and
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] pte_val
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] tick_program_event
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] llist_add_batch
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] arch_check_zapped_pte
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __update_blocked_fair
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] handle_softirqs
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __get_user_8
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __x86_indirect_thunk_rax
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] nft_do_chain
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] update_wall_time
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] ext4_da_map_blocks.constprop.0
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] entry_untrain_ret
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] raw_spin_rq_lock_nested
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] balance_dirty_pages
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] obj_cgroup_charge
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] get_next_freq.constprop.0
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] available_idle_cpu
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] acct_account_cputime
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] amd_pmu_check_overflow
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] asm_sysvec_call_function_single
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] sugov_should_update_freq
     0.00%  perf-exec       [kernel.kallsyms]  [k] perf_event_exec
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __rseq_handle_notify_resume


#
# (Cannot load tips.txt file, please install perf!)
#
